idx,n,w,sw,ln
9057,62,204706405.41935483,6779.917804905459,15.760140917738983
7815,62,193436227.96774194,7105.126623137116,16.088073864609502
235,62,309201753.7096774,8707.380445021994,16.599236209829996
7121,62,131049434.75806452,6289.613163741473,15.989915570942971
7773,62,182891491.48387095,6449.052844377694,15.970039045149745
7921,62,71795720.69354838,5076.711473679114,15.748655979699851
7250,62,89215780.01612903,5991.270354581044,15.938751488349855
9207,62,528143334.2419355,9486.661760369414,16.39406842915133
7269,62,369928913.2419355,10839.950469802838,16.610182141262314
24,62,240378190.4516129,7169.032786672965,16.044055990121016
9162,62,297006633.12903225,9121.90674595376,16.459994503604364
7710,62,157952358.38709676,7209.884235523112,16.14036852071988
68,62,275871690.4677419,8249.357415207141,16.195864370541063
147,62,221253434.43548387,7732.53374249743,16.037173684217265
8369,62,257311935.7580645,8270.721888801969,16.346616540331546
8485,62,118596668.11290322,5667.104771015237,15.807782398355394
7021,62,230054640.56451613,8285.27744787974,16.455530555468574
9749,62,376185640.91935486,10115.806544598941,16.47279655577602
7088,62,152975155.17741936,6173.732459986419,15.840836276246705
8468,62,187777004.12903225,6285.68458416223,15.604493028879771
7496,62,563798405.1290323,9839.781663674397,16.394230880006727
8531,62,395726435.7096774,9119.425930372765,16.13524013870687
8385,62,80173833.41935484,4933.81632697857,15.656556751694419
7436,62,639899281.0806452,10529.165840124739,16.290799345764857
7467,62,328996995.0967742,9443.055176288291,16.261256090839524
56,62,373793929.6935484,10412.464350393333,16.86187736536511
8496,62,354447846.2258065,8146.513939805398,16.199593243743582
54,62,234346944.03225806,8408.35363813943,16.535865309203132
4929,60,337142878.75,8177.7875824870025,16.002771896506776
93,60,76305253.61666666,5823.3610813083205,16.256007836113294
787,60,77376753.53333333,5345.69812664134,15.775601532089578
749,60,83937485.5,5651.6744066164565,15.903926145186524
7699,60,122706863.65,6685.959995973283,16.240217806483
4841,60,281552115.0833333,6857.183486295864,16.04705985303766
7698,60,124218513.95,6369.079250448312,16.153961864800813
7676,60,325101486.25,9797.491246085598,16.532752516872694
7687,60,156420150.63333333,7620.962463519739,16.4884998965216
7684,60,73016470.96666667,5054.8975262897375,15.549489206765182
785,60,168351757.8,6435.496979791915,15.91039643359537
7674,60,246146134.03333333,8262.525287310136,16.57666100093445
7671,60,134744270.3,5894.455773775015,15.74262373179686
5182,60,329185492.8666667,8653.61017164789,16.543756740192354
792,60,107090681.76666667,6091.384762893786,16.308428259632347
79,60,509549294.4,10278.281916427188,16.27264934196407
4742,60,94959964.01666667,5960.132350282546,16.285388140052405
9717,60,121112457.6,5769.438389414321,15.858141785117542
9738,60,313615048.9,11382.492047403222,17.39031804175887
9731,60,166137162.26666668,7106.024830535451,16.067036722594867
7638,60,63475734.733333334,4024.153534210478,15.320139207496133
543,60,133095472.68333334,6118.724877451793,15.829843174048769
8351,60,249952874.3,7712.228866803454,15.89928936080643
9147,60,146019540.3,6198.133606805006,16.014420236800046
2840,60,285707489.4,7541.2419874304,15.950904263230221
9026,60,208451636.26666668,7512.730055965573,16.379353193775405
8834,60,109731485.73333333,5345.90326044532,15.576984316820822
7943,60,70544030.76666667,4985.999482831761,15.622183607039753
8014,60,662464716.75,12536.23820676381,16.383143268862234
8812,60,99047353.4,5343.016447737456,15.829718524731472
8537,60,48086275.266666666,4182.462303306297,15.516124311007143
3545,60,478053323.8666667,10044.600037841337,15.927880419468107
4565,60,310223039.76666665,7911.745296818971,16.282290234237497
8352,60,206429548.08333334,7515.041791555756,16.19214101649491
8508,60,342412923.76666665,7405.252087079349,16.018882916000692
3513,60,198358110.75,6783.172763724039,15.74161589785815
3505,60,105575238.1,5301.84851675987,15.621016527695817
2969,60,423951116.68333334,8584.67023905953,15.928067094119333
2981,60,170538910.36666667,6643.862691712873,15.710984567868746
7898,60,509942087.55,11554.154646547393,16.73543416188428
4152,60,589073611.6,10802.0267909261,16.791951287375223
2711,60,211274796.8,6332.581039706756,15.738803531084704
717,60,52659690.05,4367.354301466396,15.446381299897006
9061,60,174149279.83333334,6688.360244377885,16.119987203989556
2486,60,689206811.55,10041.27871211579,16.177056216281684
2465,60,50075929.583333336,4753.638681717921,15.776729851708739
9062,60,245189921.03333333,8082.000650543642,16.33794117428135
7781,60,157029601.45,6378.26632288618,15.815983275771133
